 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,, 174 , 87 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 175 , 88 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 176 , 88 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 177 , 89 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 178 , 89 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 179 , 89 ,100%,56%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 180 , 90 ,100%,57%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 181 , 90 ,100%,58%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 182 , 91 ,100%,58%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 183 , 91 ,100%,58%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 184 , 91 ,100%,58%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 185 , 92 ,100%,58%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 186 , 92 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 187 , 93 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 188 , 93 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 189 , 94 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 190 , 94 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 191 , 94 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 192 , 95 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 193 , 95 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 194 , 96 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 195 , 96 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 196 , 96 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 197 , 97 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 198 , 97 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 199 , 98 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 200 , 98 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 201 , 98 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 202 , 99 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 203 , 99 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 204 , 100 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 205 , 100 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 206 , 101 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 207 , 101 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 208 , 101 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 209 , 102 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 210 , 102 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 211 , 103 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 212 , 103 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 213 , 103 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 214 , 104 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 215 , 104 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 216 , 105 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 217 , 105 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 218 , 106 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 219 , 106 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 220 , 106 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 221 , 107 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 222 , 107 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 223 , 108 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 224 , 108 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 225 , 108 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 226 , 109 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 227 , 109 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 228 , 110 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 229 , 110 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 230 , 110 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 231 , 111 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 232 , 111 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 233 , 112 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 234 , 112 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 235 , 113 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 236 , 113 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 237 , 113 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 238 , 114 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 239 , 114 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 240 , 115 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 241 , 115 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 242 , 115 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 243 , 116 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 244 , 116 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 245 , 117 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 246 , 117 ,100%,59%,100%,65%,96%,59%,97%,56%,100%
,,,,,,,,,,, 247 , 118 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 248 , 118 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 249 , 118 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 250 , 119 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 251 , 119 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 252 , 120 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 253 , 120 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 254 , 120 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 255 , 121 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 256 , 121 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 257 , 122 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 258 , 122 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 259 , 122 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 260 , 123 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 261 , 123 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 262 , 124 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 263 , 124 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 264 , 125 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 265 , 125 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 266 , 125 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 267 , 126 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 268 , 126 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 269 , 127 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 270 , 127 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 271 , 127 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 272 , 128 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 273 , 128 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 274 , 129 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 275 , 129 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 276 , 129 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 277 , 130 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 278 , 130 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 279 , 131 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 280 , 131 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 281 , 132 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 282 , 132 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 283 , 132 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 284 , 133 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 285 , 133 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 286 , 134 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 287 , 134 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 288 , 134 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 289 , 135 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 290 , 135 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 291 , 136 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 292 , 136 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 293 , 137 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 294 , 137 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 295 , 137 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 296 , 138 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 297 , 138 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 298 , 139 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 299 , 139 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 300 , 139 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 301 , 140 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 302 , 140 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 303 , 141 ,100%,59%,100%,66%,96%,59%,97%,56%,100%
,,,,,,,,,,, 304 , 141 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 305 , 141 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 306 , 142 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 307 , 142 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 308 , 143 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 309 , 143 ,100%,59%,100%,66%,96%,60%,97%,56%,100%
,,,,,,,,,,, 310 , 144 ,100%,59%,100%,66%,96%,61%,97%,56%,100%
,,,,,,,,,,, 311 , 144 ,100%,59%,100%,66%,96%,63%,97%,56%,100%
,,,,,,,,,,, 312 , 144 ,100%,59%,100%,66%,96%,64%,97%,56%,100%
,,,,,,,,,,, 313 , 145 ,100%,59%,100%,66%,96%,64%,97%,56%,100%
,,,,,,,,,,, 314 , 145 ,100%,59%,100%,66%,96%,64%,97%,56%,100%
,,,,,,,,,,, 315 , 146 ,100%,59%,100%,67%,96%,64%,97%,56%,100%
,,,,,,,,,,, 316 , 146 ,100%,59%,100%,67%,96%,65%,97%,56%,100%
,,,,,,,,,,, 317 , 146 ,100%,59%,100%,67%,96%,68%,97%,56%,100%
,,,,,,,,,,, 318 , 147 ,100%,59%,100%,67%,96%,68%,97%,56%,100%
,,,,,,,,,,, 319 , 147 ,100%,59%,100%,67%,96%,68%,97%,56%,100%
,,,,,,,,,,, 320 , 148 ,100%,59%,100%,67%,96%,68%,97%,59%,100%
,,,,,,,,,,, 321 , 148 ,100%,59%,100%,67%,96%,69%,97%,60%,100%
,,,,,,,,,,, 322 , 149 ,100%,59%,100%,67%,96%,69%,97%,60%,100%
,,,,,,,,,,, 323 , 149 ,100%,59%,100%,67%,96%,70%,97%,60%,100%
,,,,,,,,,,, 324 , 149 ,100%,59%,100%,67%,96%,70%,97%,60%,100%
,,,,,,,,,,, 325 , 150 ,100%,59%,100%,67%,96%,71%,97%,63%,100%
,,,,,,,,,,, 326 , 150 ,100%,59%,100%,67%,96%,72%,97%,65%,100%
,,,,,,,,,,, 327 , 151 ,100%,59%,100%,67%,96%,72%,97%,65%,100%
,,,,,,,,,,, 328 , 151 ,100%,59%,100%,67%,96%,74%,97%,66%,100%
,,,,,,,,,,, 329 , 151 ,100%,59%,100%,67%,96%,74%,97%,68%,100%
,,,,,,,,,,, 330 , 152 ,100%,59%,100%,67%,96%,74%,97%,68%,100%
,,,,,,,,,,, 331 , 152 ,100%,59%,100%,67%,96%,75%,97%,69%,100%
,,,,,,,,,,, 332 , 153 ,100%,59%,100%,67%,96%,75%,97%,69%,100%
,,,,,,,,,,, 333 , 153 ,100%,59%,100%,67%,96%,75%,97%,69%,100%
,,,,,,,,,,, 334 , 153 ,100%,59%,100%,67%,96%,75%,97%,70%,100%
,,,,,,,,,,, 335 , 154 ,100%,59%,100%,67%,96%,75%,97%,70%,100%
,,,,,,,,,,, 336 , 154 ,100%,59%,100%,67%,96%,75%,97%,70%,100%
,,,,,,,,,,, 337 , 155 ,100%,59%,100%,67%,96%,75%,97%,70%,100%
,,,,,,,,,,, 338 , 155 ,100%,59%,100%,67%,96%,75%,97%,70%,100%
,,,,,,,,,,, 339 , 156 ,100%,59%,100%,67%,96%,76%,97%,70%,100%
,,,,,,,,,,, 340 , 156 ,100%,59%,100%,67%,96%,76%,97%,70%,100%
,,,,,,,,,,, 341 , 156 ,100%,59%,100%,67%,97%,76%,97%,71%,100%
,,,,,,,,,,, 342 , 157 ,100%,59%,100%,67%,97%,77%,97%,72%,100%
,,,,,,,,,,, 343 , 157 ,100%,59%,100%,67%,97%,77%,97%,72%,100%
,,,,,,,,,,, 344 , 158 ,100%,59%,100%,67%,97%,77%,97%,72%,100%
,,,,,,,,,,, 345 , 158 ,100%,59%,100%,67%,97%,78%,97%,73%,100%
,,,,,,,,,,, 346 , 158 ,100%,59%,100%,67%,97%,78%,97%,73%,100%
,,,,,,,,,,, 347 , 159 ,100%,59%,100%,67%,97%,78%,97%,73%,100%
,,,,,,,,,,, 348 , 159 ,100%,59%,100%,67%,97%,78%,97%,73%,100%
,,,,,,,,,,, 349 , 160 ,100%,59%,100%,67%,97%,79%,97%,73%,100%
,,,,,,,,,,, 350 , 160 ,100%,59%,100%,67%,97%,79%,97%,74%,100%
,,,,,,,,,,, 351 , 161 ,100%,59%,100%,67%,97%,79%,97%,74%,100%
,,,,,,,,,,, 352 , 161 ,100%,59%,100%,67%,97%,79%,97%,74%,100%
,,,,,,,,,,, 353 , 161 ,100%,59%,100%,67%,97%,79%,97%,74%,100%
,,,,,,,,,,, 354 , 162 ,100%,59%,100%,67%,97%,79%,97%,74%,100%
,,,,,,,,,,, 355 , 162 ,100%,59%,100%,67%,97%,79%,98%,74%,100%
,,,,,,,,,,, 356 , 163 ,100%,59%,100%,67%,97%,79%,98%,74%,100%
,,,,,,,,,,, 357 , 163 ,100%,59%,100%,67%,97%,79%,98%,74%,100%
,,,,,,,,,,, 358 , 163 ,100%,59%,100%,67%,97%,79%,98%,74%,100%
,,,,,,,,,,, 359 , 164 ,100%,59%,100%,67%,98%,79%,98%,74%,100%
,,,,,,,,,,, 360 , 164 ,100%,59%,100%,67%,98%,80%,99%,74%,100%
,,,,,,,,,,, 361 , 165 ,100%,59%,100%,67%,98%,80%,99%,74%,100%
,,,,,,,,,,, 362 , 165 ,100%,59%,100%,67%,99%,80%,99%,75%,100%
,,,,,,,,,,, 363 , 165 ,100%,59%,100%,67%,99%,80%,99%,75%,100%
,,,,,,,,,,, 364 , 166 ,100%,59%,100%,67%,99%,80%,99%,77%,100%
,,,,,,,,,,, 365 , 166 ,100%,59%,100%,67%,99%,80%,99%,77%,100%
,,,,,,,,,,, 366 , 167 ,100%,59%,100%,67%,99%,81%,99%,78%,100%
,,,,,,,,,,, 367 , 167 ,100%,59%,100%,67%,99%,81%,99%,79%,100%
,,,,,,,,,,, 368 , 168 ,100%,59%,100%,67%,99%,81%,99%,79%,100%
,,,,,,,,,,, 369 , 168 ,100%,59%,100%,67%,99%,81%,99%,79%,100%
,,,,,,,,,,, 370 , 168 ,100%,59%,100%,67%,99%,82%,99%,79%,100%
,,,,,,,,,,, 371 , 169 ,100%,59%,100%,67%,100%,82%,99%,84%,100%
,,,,,,,,,,, 372 , 169 ,100%,59%,100%,67%,100%,83%,100%,84%,100%
,,,,,,,,,,, 373 , 170 ,100%,59%,100%,67%,100%,84%,100%,84%,100%
,,,,,,,,,,, 374 , 170 ,100%,59%,100%,67%,100%,84%,100%,84%,100%
,,,,,,,,,,, 375 , 170 ,100%,59%,100%,67%,100%,84%,100%,84%,100%
,,,,,,,,,,, 376 , 171 ,100%,59%,100%,67%,100%,84%,100%,85%,100%
,,,,,,,,,,, 377 , 171 ,100%,59%,100%,67%,100%,84%,100%,85%,100%
,,,,,,,,,,, 378 , 172 ,100%,59%,100%,67%,100%,84%,100%,87%,100%
,,,,,,,,,,, 379 , 172 ,100%,59%,100%,67%,100%,84%,100%,88%,100%
,,,,,,,,,,, 380 , 173 ,100%,59%,100%,67%,100%,84%,100%,88%,100%
,,,,,,,,,,, 381 , 173 ,100%,59%,100%,67%,100%,84%,100%,88%,100%
,,,,,,,,,,, 382 , 173 ,100%,59%,100%,67%,100%,85%,100%,89%,100%
,,,,,,,,,,, 383 , 174 ,100%,59%,100%,67%,100%,85%,100%,90%,100%
,,,,,,,,,,, 384 , 174 ,100%,59%,100%,67%,100%,85%,100%,91%,100%
,,,,,,,,,,, 385 , 175 ,100%,59%,100%,67%,100%,85%,100%,91%,100%
,,,,,,,,,,, 386 , 175 ,100%,59%,100%,67%,100%,86%,100%,91%,100%
,,,,,,,,,,, 387 , 175 ,100%,59%,100%,67%,100%,86%,100%,91%,100%
,,,,,,,,,,, 388 , 176 ,100%,59%,100%,67%,100%,87%,100%,92%,100%
,,,,,,,,,,, 389 , 176 ,100%,59%,100%,67%,100%,88%,100%,92%,100%
,,,,,,,,,,, 390 , 177 ,100%,59%,100%,67%,100%,88%,100%,92%,100%
,,,,,,,,,,, 391 , 177 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 392 , 177 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 393 , 178 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 394 , 178 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 395 , 179 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 396 , 179 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 397 , 180 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 398 , 180 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 399 , 180 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 400 , 181 ,100%,59%,100%,67%,100%,88%,100%,94%,100%
,,,,,,,,,,, 401 , 181 ,100%,59%,100%,67%,100%,89%,100%,94%,100%
,,,,,,,,,,, 402 , 182 ,100%,59%,100%,67%,100%,89%,100%,94%,100%
,,,,,,,,,,, 403 , 182 ,100%,59%,100%,67%,100%,89%,100%,94%,100%
,,,,,,,,,,, 404 , 182 ,100%,59%,100%,67%,100%,89%,100%,94%,100%
,,,,,,,,,,, 405 , 183 ,100%,59%,100%,67%,100%,90%,100%,94%,100%
,,,,,,,,,,, 406 , 183 ,100%,59%,100%,67%,100%,90%,100%,94%,100%
