id,scheduler_name,model_name,model_num_train,num_heuristics,list_heuristics,resource_allocation,num_resource_heuristics,list_resource_heuristics,num_experiments,splitting_rule,render_mode,job_arrival_cap,job_arrival_rate,test_data,avg_job_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""HyperHeuristicScheduler""","""2_DNN_3_None""",100,2,,"""DNN""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",226.565648788683,231.268671141471,226.161835854134,227.731374976999,226.868354233735,229.803379792769,224.747812496568,231.485244367774,229.092558620093,227.235409585269,226.534815188501,229.799081766723,232.821703309409,225.31625754925,226.615272705646,226.19180501165,229.990250442159,228.600148691664,233.164780582527,226.473448718842,229.344597810591,229.644256840918,230.0619880378,229.788850074343,228.529933688886,233.177541567308,225.113674652851,228.784689342259,226.7487337969,224.328452952592,224.544273923762,229.996473016264,225.867147937119,234.377604256616,232.653748338338,230.295696472058,229.806204012425,223.894728929728,228.979867917437,230.816056555452,223.796366215899,226.753653676156,227.942769941365,228.610366608583,227.051774621286,227.347325957394,229.430815612025,225.788454920059,225.5839374678,233.245866101128
2,"""HyperHeuristicScheduler""","""2_Hyperheuristic_3_None""",100,2,,"""HyperHeuristic""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",275.853430792619,271.178369117079,300.657606270131,292.072735128328,317.842802349784,268.204317554253,279.476640193817,275.406796576408,258.540129943707,279.779543334669,285.132961276892,274.767197752546,278.394854721635,270.277296847955,275.792312629816,246.167545486519,269.081143619628,257.457329924826,283.609602644716,276.920614621463,280.281372391875,277.383975547539,304.593165439568,271.50342506528,275.078918284937,304.590367325652,255.78453240992,284.34996923456,251.008704241601,248.660545765819,248.836340932294,271.646155702358,308.754931230809,274.302256001769,263.080600910464,268.34205182165,269.198652428008,262.099267559568,270.920100124171,273.366302472378,329.353512427086,276.6713285948,275.740316059929,269.144051281874,275.522944383116,268.059376272636,277.945908424398,249.189708772054,331.81829829049,269.850205462885
3,"""HyperHeuristicScheduler""","""2_Hyperheuristic_3_None""",100,2,,"""DRA""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",249.077623472645,249.598691005922,247.790406257084,242.240186331316,245.539635344461,248.495495840783,254.758713137658,243.372597837744,241.998254093067,248.0183139358,246.254798800071,253.499830093741,243.593121364813,245.473415658403,253.845679446384,245.904252766026,255.700950931185,244.146864350123,249.87166684066,244.129206375415,248.65185481374,248.843619448724,249.899931811201,253.314005506725,251.073726590517,246.615812867825,250.135313907826,252.449513227024,242.375794473807,241.140592985596,249.530418972414,243.501411331368,251.870433883379,250.055396604936,252.607438955857,245.742416723302,253.879327288445,248.207025582308,252.815098949748,247.76119205769,249.160908406736,250.857189103775,244.015884872853,250.036985432818,244.415654065812,255.794037870991,243.237298048243,246.443123630384,249.134949666207,257.27239619774
4,"""DecimaScheduler""","""1_DNN_1_None""",100,1,,"""DNN""",1,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",238.956073765109,242.766100127384,235.588948726211,251.918967272126,235.929518879163,239.413016533275,258.021077728052,350.338154672309,237.103227547233,245.265216058535,247.2905090314,241.413656038173,232.612109217642,248.058685542573,243.447872010526,240.194616353592,236.934039029953,242.429375866175,253.020807275693,237.406129974387,237.520254774472,255.08341125759,245.356883459312,243.229884394925,237.327202795606,243.763509899869,232.584083489064,237.987906123039,241.420664252741,257.861432996196,238.88769290978,239.640151926811,248.40567228584,237.186739011709,244.251168733376,250.115185888023,235.737779165724,237.480830130468,241.010483996356,234.193073454104,236.123324255579,231.903846597715,234.527671044094,243.867213130426,239.914640253269,239.216498849998,240.909304647974,232.044307520172,240.243480160689,234.96059347616
5,"""HyperHeuristicScheduler""","""2_DNN_3_None""",100,2,,"""DNN""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",229.720247066122,227.55018171789,222.355864257322,227.839188067228,228.968496682233,224.004132314816,227.141603825006,224.650176435519,232.6671832691,223.733781120274,231.985465921725,228.939642936817,229.218731393663,227.043954299719,224.824064449304,226.894752497154,224.440364547739,223.108294007977,227.873997051437,226.409284212076,234.263991127106,226.165377134231,227.010495897583,227.651925040541,224.805565281791,228.153657549719,223.0190269945,226.639100143794,229.514736788188,230.625511600642,225.487302069918,226.22268036039,227.63997269481,230.200043170335,227.095298620054,221.700445074819,232.808038387222,222.174507463519,222.976602349881,227.923190029088,226.545185000576,227.760369363491,225.318257861701,230.948005022517,230.20811436123,228.945086842683,227.13440564515,225.134360900043,232.760524705474,226.060502939251
6,"""HyperHeuristicScheduler""","""2_Hyperheuristic_3_None""",100,2,,"""HyperHeuristic""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",250.964328225615,277.83711018387,298.303724088915,272.258962674595,276.431193774957,269.468284268337,274.293520781489,250.039255548107,275.266679186539,255.955292248295,256.645904442682,252.434097148955,304.946952213309,285.120886503482,296.623090257847,257.977724513363,275.174128339829,246.158276981106,275.507419041133,254.349225467048,287.905592714955,278.257098522567,269.267679457227,265.164261217596,259.251839859194,306.12184994942,270.389266697925,255.232386599077,299.826613500106,292.602775792255,273.018204338058,276.435841565544,302.268921700887,275.584888322385,267.842694261844,272.139134561179,246.588758563128,330.849752138002,272.958744908246,268.685302462209,279.490821839154,278.043708205174,278.514080369163,254.128087444766,272.857196057207,295.269005748407,258.905000013989,251.045830557679,279.134339428762,291.829468173424
7,"""HyperHeuristicScheduler""","""2_Hyperheuristic_3_None""",100,2,,"""DRA""",3,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",240.796074645921,252.848574288553,238.339847399249,248.505056052066,251.582715503947,248.122973571185,254.894729486786,248.006389217054,246.126951488421,249.868238176962,246.628385770944,260.943142672722,249.016342326932,253.993672038825,252.998064633856,247.44775859314,242.693370336066,244.573709323805,253.890373787256,239.631276055307,250.176689832955,237.614601616856,255.132350835166,254.107556138306,251.403057744671,247.567315785284,263.500556392408,249.319678487288,260.563111801227,253.848003293749,246.384878644665,247.038715130874,241.733415473252,245.337990199604,249.048250490437,242.547395472032,250.403721262376,234.795182641311,244.248193304312,253.060655104187,253.64593563404,250.15850861287,245.183289915024,242.165059242219,253.346186343432,246.559524751819,261.615275861816,252.796167433037,253.573015107364,249.242130052045
8,"""DecimaScheduler""","""1_DNN_1_None""",100,1,,"""DNN""",1,,50,"""None""","""None""",1000,2.08333333333333E-05,"""TPCHDataSampler""",242.854477312532,238.898477814901,233.514205452574,232.658292273257,235.07348836801,258.211593508288,233.507774719827,257.273923086523,241.463321906109,225.774765272471,245.09309100076,237.32841708814,243.51630755806,237.885631299663,237.21311147529,244.404270785373,239.335696644385,244.499398528192,250.369934489406,255.348622814675,239.938748691012,238.386670581791,238.075227404465,248.842285149443,230.84096109958,236.762566413146,234.668815471295,237.683447831143,239.183536267866,240.848971353969,244.242289174936,239.827942915428,240.149731684452,244.126726595034,245.990773591044,240.618466765865,242.320911808825,248.887402076156,239.507243089577,233.928844283503,241.459803493677,249.59945147679,240.369889530274,264.351739161087,240.49105353864,245.892773102798,241.266762532167,242.420948087953,234.304658982011,241.95654848256
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,241.198642976514,237.521919284881,237.16355819083,245.207271301746,233.744900663895,234.506146207885,228.967842995139,247.809005773635,235.467314417657,241.712863426753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,225.761198017177,230.662041227096,216.834027465953,235.025255150685,220.728077955766,220.838103465317,223.57592674837,215.759156295,220.314591922234,225.710053848373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,338.122933987142,345.265741724626,348.705307844478,351.884506571076,340.384147487432,355.773583496295,347.599762676243,347.128451246511,350.952336639571,348.556513393871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int8""","""TPCHDataSampler""",2.08333333333333E-05,1000,239.411666224256,233.197706256891,238.439618397864,242.365766608631,246.90500496148,235.25957171706,235.823150332495,239.617002498162,251.406519817651,238.707209017765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,245.020616161757,242.401502545529,243.304981939872,244.706202757798,246.137764196011,244.249888864246,238.038759416319,231.68186420127,239.673062813278,227.754667432635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,231.6823635265,222.896707903499,223.559495250108,231.312426026544,224.914716569199,228.115698243043,228.310898647816,221.523575881998,224.702120718631,225.029487404587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,315.673957477445,323.031472636723,320.224473954793,316.988030957751,347.954616227827,323.155141383761,319.484255618081,318.648953058016,323.264349054564,330.804267047374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int48""","""TPCHDataSampler""",2.08333333333333E-05,1000,234.50129221817,233.758579964973,236.077885717249,232.243312330907,235.658259055737,236.560664999577,226.598181044591,229.606402408205,236.283291293725,236.403274033051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int8""","""AlibabaDataSampler""",0.000125,1000,584.228052111941,434.381510285604,510.86125982521,406.603722987896,408.417661923477,575.471158346798,544.583329939302,498.25623125603,547.396577730263,564.402428796334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""AlibabaDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int8""","""AlibabaDataSampler""",0.000125,1000,513.5009371064,713.179310586119,481.158545195199,604.465693506849,689.399516835083,671.059740271996,609.763841915932,500.107793862341,479.994018697322,549.906399919784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int8""","""AlibabaDataSampler""",0.000125,1000,814.98915105936,1191.01647947089,949.337072248645,895.07118055718,907.863109072707,743.158042116627,858.909468029967,901.604441074259,1006.77636063496,914.228705131187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""AlibabaDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int8""","""AlibabaDataSampler""",0.000125,1000,171.328299680744,134.676804460261,125.394243817274,196.088067667941,131.869585809616,154.027324076252,185.740106465767,129.674694696357,172.084269426866,151.89216875186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",3,"""DRA""","""None""",5,,10,"""None""","""3_DRA_cap500_int48""","""AlibabaDataSampler""",0.000125,1000,691.290730606675,486.460799108547,462.278285986896,504.882434169454,539.491651481054,427.531588545559,715.974520888779,611.94273747757,442.578339467883,502.517121579385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""",4,"""DRA""","""None""",5,,10,"""None""","""4_DRA_cap500_int48""","""AlibabaDataSampler""",0.000125,1000,549.287571754344,627.432256225341,587.589279313039,469.188676757709,647.961976816027,649.458655340865,1097.63799555233,471.086728383657,691.440632753887,598.281868611981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",5,,10,"""None""","""cap100_int48""","""AlibabaDataSampler""",0.000125,1000,607.579881795343,625.768040855738,505.780461568866,553.372412304881,626.101145389163,579.929213728725,618.705023926959,592.153727649978,659.161521768329,460.556655239896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"""DecimaScheduler""","""TPCHDataSampler""",2,"""DNN""","""None""",20,,10,"""None""","""cap100_int48""","""AlibabaDataSampler""",0.000125,1000,212.428256592655,229.346724759548,222.835926571142,205.17388877052,147.680940962764,176.979407877541,131.050823295071,183.103316293649,240.441144617153,179.755906808897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
