id,scheduler_name,train_data,model_name,model_num_train,num_heuristics,list_heuristics,resource_allocation,num_resource_heuristics,list_resource_heuristics,num_experiments,splitting_rule,render_mode,job_arrival_cap,job_arrival_rate,test_data,avg_job_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""HybridheuristicScheduler""",,,,2,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",185.8848076,375.7443314,329.2702909,279.5320838,259.2208599,332.4488266,249.2833085,282.8825567,389.0663572,360.3562267,607.5890765,253.4791805,275.4338489,504.4437925,207.8607332,257.8545409,298.1823385,486.9415637,586.1631652,273.4555495,224.0833285,1119.273885,257.8585722,373.9778797,281.892839,365.6324056,229.8271773,306.1988388,261.1821047,204.2208415,283.2556961,321.7521754,444.8424217,469.8978876,272.3114881,194.3465205,580.1545471,212.0694591,234.8454169,429.212514,270.4436288,521.199375,318.9768239,589.6473548,179.8545445,423.7153722,369.4946324,252.7632472,257.6839342,333.2568136
2,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""2_DRA_cap100_int48""",100,2,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",206.4520367,433.5583316,424.2705001,306.5406177,280.6365161,335.7693779,324.7619605,271.7924234,388.8395416,435.5489824,582.6456311,265.1321841,278.5447016,433.1401529,256.2227033,349.2278642,346.972402,489.0613637,768.2017077,315.1615234,252.5082386,839.505954,307.6840555,355.6710005,308.3345578,382.5973618,272.3674598,362.7039848,322.6817482,248.550507,343.815612,340.4258728,565.3634669,391.1071966,328.0250526,205.0713163,654.9217737,261.1092032,302.8517076,572.5625796,256.853011,536.3721403,340.4577138,519.5643448,196.7839877,472.8938451,291.1262047,276.7406215,305.6901862,342.6625405
3,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""3_DRA_cap100_int48""",100,3,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",204.16314,435.8224996,419.800257,308.8599653,249.6316238,331.7683993,328.3622886,266.9418653,403.5375172,383.6675866,551.5587393,290.9593852,284.1308382,420.7599732,262.8899207,321.6324078,388.4586177,486.4478096,714.0266729,289.297254,238.3260199,963.3487632,282.5784265,374.9123636,271.0942906,355.8693122,258.123825,358.643751,306.1020232,255.2759494,360.2661168,371.6826553,544.432925,392.9852854,302.3853297,205.2782401,604.9203158,245.9559812,282.5423047,542.8518678,258.5517541,517.1338876,362.7950599,578.7192847,181.0444851,463.9907032,299.2692783,249.3172991,279.9691954,366.8243567
4,"""HyperHeuristicScheduler""", ,"""4_DRA_cap100_int48""",10,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",194.2695113,379.7367199,335.0643065,275.3136283,237.3542183,296.0166641,266.6735764,243.8083649,332.5804714,390.5624502,547.4844907,253.2549034,278.6050844,370.4548662,224.028028,299.9940697,304.25357,436.0744717,642.7056797,269.1793198,225.9651358,689.5529395,238.139711,363.8808217,244.997393,312.352359,225.2692736,309.3065415,298.7762518,238.9115041,302.7355169,309.679997,461.1180659,340.1698338,283.4339299,192.1188654,512.9277217,221.0895333,275.582673,516.5724708,215.196349,432.745129,285.3911652,508.5904434,181.1738554,361.5927641,259.4205028,247.667978,274.5389953,318.1761705
5,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""4_DRA_cap100_int48""",50,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",188.9592978,402.87227,363.619444,274.3910393,241.7598878,286.1235222,286.7139839,242.6493215,332.2381008,405.0089832,557.4611833,251.128822,282.9113859,366.4059262,222.2726716,308.9136365,317.182452,413.1559375,670.9577986,272.891782,235.6535651,724.1351267,253.0731297,327.6801865,256.3991936,316.334235,228.9667083,328.0204692,289.7674022,235.3321766,337.4034333,302.77057,502.8705773,339.3773686,305.0121172,197.4300513,535.2129256,224.0577369,284.1806154,512.476568,218.9065851,426.5218387,300.4994856,457.5361755,177.7798793,395.5129175,247.8005574,240.7374583,262.5245373,304.3367248
6,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""4_DRA_cap100_int48""",100,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",185.7620299,398.6787459,368.6463492,278.6097191,231.4909609,298.523675,290.2795441,245.5592866,315.4468082,396.7524883,527.3818183,253.5787879,250.1052916,395.5466382,206.5581479,299.6382576,326.9779614,425.4209834,636.1494693,284.7215848,235.2701271,656.5922063,256.6457011,334.8078938,245.2913423,315.8818173,224.0083928,343.0575443,282.4712048,233.8307791,318.3385682,312.2662892,461.2929027,334.4847702,303.1344738,190.877529,526.0565412,244.4332604,261.4454091,522.2979666,226.9982947,424.8975131,288.9927819,437.0056496,175.8959439,375.9636479,263.219589,252.255881,281.3743332,318.5773555
7,"""DecimaScheduler""","""TPCHDataSampler""","""cap100_int48""",100,1,,"""DNN""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",169.3377682,323.8337652,266.6385766,233.8846116,214.6443031,249.9201581,224.74424,213.2185752,254.2494574,302.8905419,385.3966348,200.8727711,226.6466777,312.8289631,191.73101,251.3676986,241.885737,318.9932316,474.8022086,223.4487428,200.1402081,549.9706951,218.0324377,276.5032333,214.6962836,253.3696552,186.2738229,260.4843279,229.5925195,191.5813312,249.2302733,245.3785289,378.5895157,286.3527827,240.1507947,162.9582236,399.0459158,190.9096064,204.6196051,374.8166771,194.5366174,354.7119377,248.2528157,380.6834217,160.7490517,294.3851035,213.3950421,210.1296121,232.5072499,252.8664524
2,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""2_DRA_cap500_int8""",100,2,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",210.2004494,427.5643188,454.4458053,302.5522734,255.5819192,335.6109023,288.3917697,275.9188478,408.7794838,462.6350137,591.4083614,282.6063794,274.370891,430.6049323,238.766006,343.1792352,341.7370576,532.9505405,665.6006122,297.5010431,242.1913778,889.1185187,294.454017,394.6308141,296.7374656,372.2008901,261.1098181,397.6531977,334.1799589,259.0201231,335.3820839,346.3397845,541.0758866,378.2949718,323.7571334,213.4484189,630.8581257,250.750212,290.6511072,567.539534,248.3106689,490.1109523,339.3261545,524.5255396,194.753952,428.7808094,297.1932565,270.5043495,303.4870288,374.0521433
3,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""3_DRA_cap500_int8""",100,3,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",192.4302818,435.8846968,449.8918025,314.725423,261.7280219,351.4873458,314.6394565,263.5751806,386.1664977,460.6866605,616.9240323,285.1937581,278.9024379,414.3401511,242.5447654,309.481446,353.4313628,484.3816065,660.2722334,291.7674252,249.0265996,914.0838838,292.3437573,368.5254638,279.0284012,349.7984038,257.8267715,371.6427591,313.0474496,244.8173412,345.6647077,347.9451008,586.8868903,417.6174867,298.8260214,220.0725428,625.5858797,239.9149167,295.8340241,554.1719818,258.4397797,513.4067924,332.7518215,515.5464055,187.6451951,456.3635201,292.2425112,250.8077007,277.3608536,343.4405138
1,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""2_DRA_cap100_int48""",10,2,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",199.0989216,426.0934616,403.0510607,318.2052695,268.6358258,335.3305941,330.4665495,276.7281471,424.7497566,462.8590849,563.1497463,263.5814681,282.0898557,423.0567948,261.9313168,354.7962759,338.2842622,503.7859365,688.6257323,319.6452956,265.8096487,878.9460418,296.1136439,373.1687353,289.1427784,356.1707941,260.7498642,387.3623353,324.1176066,257.1212819,330.8674197,337.930148,538.3817815,403.1966208,318.2734998,205.5315263,584.6429217,267.1222734,290.3414813,549.8000652,241.965294,524.1045163,337.4940526,548.3072989,191.2365637,471.7299751,303.0965013,269.3009923,313.1265607,371.0059154
2,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""2_DRA_cap100_int48""",50,2,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",207.8074244,441.7994876,375.8911145,303.2971035,270.7424395,334.727381,327.4686534,278.5852935,422.8583529,439.5554929,553.0395793,273.4108821,275.288036,431.3765623,261.8270069,335.491992,371.1565387,517.6081598,676.377601,310.6675779,252.1248113,899.7352498,298.3142243,367.3965746,291.3985509,362.7867154,231.4446378,375.3944493,327.7963993,263.2705592,339.8778706,366.7269139,557.6960416,403.8231398,299.5018128,212.433122,626.4139742,253.0986789,280.7739898,555.1765819,249.9686981,521.1187383,346.5913498,585.2950263,191.2516444,456.5689086,300.2882024,267.7279049,297.1919446,351.8459725
3,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""3_DRA_cap100_int48""",10,3,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",205.0931382,473.9915545,433.5452447,296.2924444,267.7558148,337.3505615,340.3994881,257.7974967,407.8692927,464.8872094,569.437001,259.7171182,278.7131339,428.5928425,239.7592009,305.7632661,398.5589662,503.3626145,801.0626387,291.2310022,248.8882218,906.0246538,264.8596091,383.4502271,262.0374878,354.4715486,254.2020596,365.0958691,307.105006,246.6007004,364.9347664,365.8124502,555.6578973,415.2436845,300.4174622,201.5673839,645.7764551,240.4862234,285.1624032,559.8306684,251.1692732,534.0768048,349.5603553,580.6734646,188.334336,385.3643516,305.3160359,263.8984338,297.8281279,328.7078831
4,"""HyperHeuristicScheduler""","""TPCHDataSampler""","""3_DRA_cap100_int48""",50,3,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",197.4359426,460.3840711,385.6197825,331.3415776,250.3066834,330.2679612,298.5351443,273.1163248,360.8017496,450.0590355,568.3287008,262.0732597,265.9876831,424.0299991,231.826388,325.296653,343.8488177,486.3283405,720.8993532,299.4407964,251.3983627,940.870058,258.4007944,359.4194389,287.5735139,391.7958466,256.6876805,384.0708164,308.0340449,265.7788864,347.7165208,365.2786092,649.9915255,410.0037465,308.552251,216.9291508,692.3057296,240.5709995,299.2602465,568.4637255,249.622384,551.9157016,326.9020786,484.5962781,186.5888058,425.0113276,284.8637459,280.0875225,282.1476155,343.1507523
5,"""DecimaScheduler""","""TPCHDataSampler""","""cap100_int48""",10,1,,"""DNN""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",244.6040049,470.61114,409.9553589,343.948497,306.6909522,365.9651592,369.3209945,315.6751581,414.7469705,509.631806,763.7337477,296.4791582,326.4176843,482.3468858,249.680294,417.7421541,367.8162949,486.561059,879.5239236,348.2508632,277.6542367,710.5617145,299.1183146,442.7918128,290.2289352,362.4677174,279.6777497,398.7289338,376.6160352,275.1259158,396.5006426,391.2610209,620.9253054,454.3465755,366.0643046,227.4366445,614.8669614,282.4735957,330.1034259,645.4349923,261.8609663,456.7527275,370.3621565,529.7472849,220.822833,470.2446808,317.6535493,300.6499048,332.9743111,377.3157031
6,"""DecimaScheduler""","""TPCHDataSampler""","""cap100_int48""",50,1,,"""DNN""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",175.9997233,291.4260397,267.1551457,242.4289178,213.4413308,252.6221605,245.0772565,220.2761742,265.039808,321.0693955,371.4187858,206.3001449,215.5249395,304.2550767,192.1398598,267.9187872,244.5927502,322.8164615,469.8330845,231.3386152,210.0280405,492.6995156,216.0071232,281.8768325,219.65304,260.8668725,196.1198861,268.8641607,267.8034111,198.9401465,260.4212937,259.1923045,355.1460994,280.6921148,246.7787817,173.5577455,356.0323953,211.7884585,222.0715957,378.6774095,197.4202436,324.4483556,253.4912204,367.5890894,167.9740053,299.1725945,212.5017547,214.9158385,226.0515052,258.1333856
9,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",50,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",188.6144179,390.891636,368.8842743,287.0670602,260.8507719,292.7088106,290.5671111,240.1443817,334.1151424,393.6736947,515.6520409,241.0016603,246.838852,366.7078482,210.1759415,302.1988034,300.0563611,429.8388478,654.3936302,268.0552191,221.3657831,685.6473951,240.8569034,331.4322296,259.0421516,301.1084997,237.174851,332.9205979,311.918004,246.9118429,303.7517675,318.7215943,482.3307902,326.2006764,307.2673113,199.3598147,516.5925767,240.1393173,262.9380865,536.9980878,215.1002834,435.8862387,307.091171,446.4575828,177.9215457,359.6941908,264.0506516,245.7021642,266.2097984,326.1945736
10,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",100,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",187.7981195,371.6460997,364.8707592,265.785763,251.2087975,291.3203767,293.2044208,236.6248557,328.3058381,398.5350294,557.0670237,236.2768259,269.9471238,364.6210642,220.9683914,307.1258572,318.725179,404.2221343,643.1321021,275.0460575,226.8985491,659.8104883,244.9924067,319.2978264,252.757764,324.6183467,229.7952252,340.8890566,292.4600167,224.4970242,306.914396,296.3086549,493.1817652,336.6253924,305.5961926,193.0191262,515.5437302,223.4809759,250.1383603,499.1499418,216.9380896,408.2790257,271.0050282,465.9408699,179.5347446,413.6470986,258.4275687,248.3634729,275.2157448,317.2976163
11,"""DecimaScheduler""","""AlibabaDataSampler""","""cap500_int8""",100,1,,"""DNN""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",205.0233613,354.3737533,318.2330325,263.4805876,245.886208,295.5068974,269.501263,250.0083076,301.8398182,356.640815,452.3255001,237.0146874,248.1305511,358.0443764,221.7238417,297.9466411,300.4801446,402.1171907,538.2745642,261.9012003,222.7835437,624.3816499,261.1184008,326.633315,247.8917587,300.268366,220.4204167,294.6471969,277.1626293,220.8550892,294.6844603,292.5150436,432.5458625,335.5660069,291.6515343,188.4913594,467.3649942,228.5829001,244.0502368,451.1961142,217.9446696,403.8110713,285.0761608,444.3285477,205.5341505,337.4847851,249.5152708,237.7651347,256.5415891,290.4448636
8,"""HyperHeuristicScheduler""","""AlibabaDataSampler""","""4_DRA_cap500_int8""",10,4,,"""DRA""",,,50,"""None""","""None""",500,2.08E-05,"""TPCHDataSampler""",194.3840993,378.420736,364.5780366,274.6410125,247.3385708,310.4977466,279.5081913,228.3162057,319.8186651,398.9885972,539.1818214,253.3418554,265.9492048,372.6554132,218.5826015,315.0526268,306.45724,395.0294354,673.4445164,284.576435,227.6783561,656.3508858,240.4442008,330.9464138,240.2700375,308.834957,226.7676866,336.7566577,293.3895213,253.5646723,322.9272031,303.4689278,543.6589862,339.3235295,310.424113,192.1452578,512.18524,222.0754833,261.6911641,511.0201659,223.6386118,428.7989963,278.1292646,421.4707692,179.6441257,374.7133386,259.8993799,247.3174726,274.8225568,317.1246854
